05/15/2020 01:46:31 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:31 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:31 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:32 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:32 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:32 PM [OpticalTrain] Generating an optical train
05/15/2020 01:46:33 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:33 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:33 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:33 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:33 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:33 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:33 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:33 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:34 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:34 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:34 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:34 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:34 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:34 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:34 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:34 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:34 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:34 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:34 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:34 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:34 PM [gen_all_tc] Generating AO module mirror emission photons
05/15/2020 01:46:34 PM [_gen_all_tc] Generating telescope mirror emission photons
05/15/2020 01:46:35 PM [_gen_all_tc] Generating atmospheric emission photons
05/15/2020 01:46:35 PM [_gen_all_tc] GGenerating optical path for source photons
05/15/2020 01:46:36 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:36 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:36 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:36 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:36 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:36 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:37 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:37 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:38 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:38 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:38 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:38 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:38 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:38 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:39 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:39 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:39 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:39 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:39 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:39 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:40 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:40 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:40 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:40 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:41 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:41 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:41 PM UserCommands object created
05/15/2020 01:46:41 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:41 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:41 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:41 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:41 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:41 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:42 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:42 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:42 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:42 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:42 PM [OpticalTrain] Generating an optical train
